AC_TYPEID,AC_GROUP,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
616,6,BOEING 737-500,BOEING,BOEING 737-500,B737-5,1/1/1990 12:00:00 AM,
617,6,BOEING 737-400,BOEING,BOEING 737-400,B737-4,1/1/1990 12:00:00 AM,
618,6,BOEING 737-300LR,BOEING,BOEING 737-300LR,B737-3LR,1/1/1990 12:00:00 AM,
619,6,BOEING 737-300,BOEING,BOEING 737-300,B737-3,1/1/1990 12:00:00 AM,
620,6,BOEING 737-100/200,BOEING,BOEING 737-100/200,B737-1/2,1/1/1990 12:00:00 AM,
621,6,BOEING 737-200C,BOEING,BOEING 737-200C,B737-2C,1/1/1990 12:00:00 AM,
622,6,BOEING 757-200,BOEING,BOEING 757-200,B757-2,1/1/1990 12:00:00 AM,
623,6,BOEING 757-300,BOEING,BOEING 757-300,B757-3,1/1/1999 12:00:00 AM,
624,6,BOEING 767-400/ER,BOEING,BOEING 767-400/ER,B767-4,1/1/1998 12:00:00 AM,
625,6,BOEING 767-200/ER,BOEING,BOEING 767-200/ER/EM,B767-2/R,1/1/1990 12:00:00 AM,
626,6,BOEING 767-300/ER,BOEING,BOEING 767-300/300ER,B767-3/R,1/1/1990 12:00:00 AM,
627,6,BOEING 777-200,BOEING,BOEING 777-200ER/200LR/233LR,B777-2,1/1/1994 12:00:00 AM,
628,6,CANADAIR RJ-100/ER,CANADAIR,CANADAIR RJ-100/RJ-100ER,RJ100/ER,3/1/1993 12:00:00 AM,
629,6,RJ-200ER/RJ-440,BOMBARDIER,CANADAIR RJ-200ER /RJ-440,CRJ-2/4,1/1/1997 12:00:00 AM,
630,6,DOUGLAS DC-9-10,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-10,DC-9-10,1/1/1990 12:00:00 AM,
631,6,CANADAIR RJ-700,CANADAIR,CANADAIR RJ-700,RJ-700,1/1/1990 12:00:00 AM,
632,6,DORNIER 328 JET,FAIRCHILD DORNIER,DORNIER 328 JET,DO-328 J,1/1/2001 12:00:00 AM,
633,6,BOEING 737-600,BOEING,BOEING 737-600,B737-6,4/1/2002 12:00:00 AM,
634,6,BOEING 737-900,BOEING,BOEING 737-900,B737-9,4/1/2002 12:00:00 AM,
635,6,DOUGLAS DC-9-15F,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-15F,DC-9-15F,1/1/1990 12:00:00 AM,
636,6,CESSNA CITATION ,CESSNA,CESSNA CITATION II/ BRAVO,CITATNII,10/1/2002 12:00:00 AM,
637,6,BOEING 777-300/ER,BOEING,BOEING 777-300/300ER/333ER,B777-3,3/1/2004 12:00:00 AM,
638,6,CANADAIR CRJ 900,BOMBARDIER,CANADAIR CRJ 900,CRJ-900,3/1/2003 12:00:00 AM,
639,6,CITATIONJET/CJ,CESSNA,CESSNA CITATIONJET/CJ1/CJ2/CJ3,CITATNJ,12/1/2003 12:00:00 AM,
640,6,DOUGLAS DC-9-30,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-30,DC-9-30,1/1/1990 12:00:00 AM,
641,6,GULFSTREAM G-IV,GULFSTREAM AEROSPACE ,GULFSTREAM AEROSPACE G-III/G-IV  ,G-III/IV,1/1/2009 12:00:00 AM,
642,6,BEECH HAWKER 400XP,RAYTHEON BEECHCRAFT,RAYTHEON BEECHCRAFT HAWKER 400XP,HAWKER ,1/1/2009 12:00:00 AM,
643,6,WESTWIND II,ISRAEL AIRCRAFT INDUSTRIES,1124A WESTWIND II,WESTWIND,1/1/2009 12:00:00 AM,
644,6,A-318,AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A-318,A318,6/1/2003 12:00:00 AM,
645,6,DOUGLAS DC-9-40,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-40,DC-9-40,1/1/1990 12:00:00 AM,
646,6,CSSNA CITATIONIII,CESSNA,CESSNA CITATION X MODEL 650/550B/550XL,CITATNX,6/1/1978 12:00:00 AM,
647,6,CSSNA CITATION X,CESSNA,CESSNA CITATION X MODEL CE750 X,CE-750X,9/1/2006 12:00:00 AM,
648,6,GULFSTREAM G200,GULFSTEAM,GULFSTREAM G200,G200,6/1/2008 12:00:00 AM,
649,6,TUPOLEV TU-204,TUPOLEV,TUPOLEV TU-204-300,TU-204,12/1/2007 12:00:00 AM,
650,6,DOUGLAS DC-9-50,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-50,DC-9-50,1/1/1990 12:00:00 AM,
651,6,GULFSTEAM G150,GULFSTEAM,GULFSTREAM G150,G150,6/1/2008 12:00:00 AM,
652,6,CANADAIR CL-600,CANADAIR,CANADAIR CL-600 CHALLENGER,CL-600,6/1/2008 12:00:00 AM,
653,6,CESSNA CE-680 ,CESSNA,CESSNA CE-680 CITATION SOVEREIGN,CE-680,6/1/2008 12:00:00 AM,
654,6,MD-87,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC9 SUPER 87,MD-87,10/1/1996 12:00:00 AM,
655,6,MD-80/1/2/3/8,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC9 SUPER 80/MD81/82/83/88,MD-80,1/1/1990 12:00:00 AM,
656,6,MD-90,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS MD-90,MD-90,1/1/1995 12:00:00 AM,
657,6,BOMBARDIER CRJ 705,BOMBARDIER,BOMBARDIER CRJ 705,CRJ-705,6/1/2005 12:00:00 AM,
658,6,BOMBARDIER BD-700,BOMBARDIER,BOMBARDIER BD-700 GLOBAL EXPRESS,CRJ700,6/1/2005 12:00:00 AM,
659,6,LEARJET 60,BOMBARDIER,BOMBARDIER (GATES) LEARJET 60,LEAR-60,6/1/1991 12:00:00 AM,
